speaker,time,row_index
CA1HA_87,340.445,541
CA1HA_87,340.485,542
CA1HA_87,340.53,543
CA1HA_87,340.58,544
CA1HA_87,340.63,545
CA1HA_87,340.67,546
CA1HA_87,340.71,547
CA1HA_87,340.755,548
CA1HA_87,340.795,549
CA1HA_87,341.09,550
CA1HA_87,341.42,551
CA1HA_87,341.55,552
CA1HA_87,341.715,553
CA1HA_87,341.835,554
CA1HA_87,341.905,555
CA1HA_87,341.965,556
CA1HA_87,342.03,557
CA1HA_87,342.095,558
CA1HA_87,342.15,559
CA1HA_87,342.215,560
CA1HA_87,342.26,561
CA1HA_87,342.31,562
CA1HA_87,342.4,563
CA1HA_87,342.495,564
CA1HA_87,342.57,565
CA1HA_87,342.63,566
CA1HA_87,342.675,567
CA1HA_87,342.71,568
CA1HA_87,342.755,569
CA1HA_87,342.8,570
CA1HA_87,342.84,571
CA1HA_87,342.9,572
CA1HA_87,342.98,573
CA1HA_87,343.05,574
CA1HA_87,343.12,575
CA1HA_87,343.205,576
CA1HA_87,343.795,577
CA1HA_87,343.835,578
CA1HA_87,343.87,579
CA1HA_87,343.93,580
CA1HA_87,344.025,581
CA1HA_87,344.105,582
CA1HA_87,344.15,583
CA1HA_87,344.205,584
CA1HA_87,344.285,585
CA1HA_87,344.355,586
CA1HA_87,344.405,587
CA1HA_87,344.435,588
CA1HA_87,344.53,589
CA1HA_87,344.655,590
CA1HA_87,344.715,591
CA1HA_87,344.75,592
CA1HA_87,344.8,593
CA1HA_87,344.845,594
CA1HA_87,344.89,595
CA1HA_87,344.96,596
CA1HA_87,345.02,597
CA1HA_87,345.08,598
CA1HA_87,345.16,599
CA1HA_87,345.215,600
CA1HA_87,345.245,601
CA1HA_87,345.275,602
CA1HA_87,345.335,603
CA1HA_87,345.4,604
CA1HA_87,345.475,605
CA1HA_87,345.56,606
CA1HA_87,345.6,607
CA1HA_87,345.645,608
CA1HA_87,345.7,609
CA1HA_87,345.75,610
CA1HA_87,345.805,611
CA1HA_87,345.855,612
CA1HA_87,345.905,613
CA1HA_87,345.945,614
CA1HA_87,345.985,615
CA1HA_87,346.05,616
CA1HA_87,346.115,617
CA1HA_87,346.175,618
CA1HA_87,346.225,619
CA1HA_87,346.38,620
CA1HA_87,348.1757,621
CA1HA_87,348.5157,622
CA1HA_87,348.5607,623
CA1HA_87,348.6007,624
CA1HA_87,348.6457,625
CA1HA_87,348.7007,626
CA1HA_87,348.7607,627
CA1HA_87,348.8257,628
CA1HA_87,348.8757,629
CA1HA_87,348.9257,630
CA1HA_87,348.9707,631
CA1HA_87,349.0057,632
CA1HA_87,349.0557,633
CA1HA_87,349.1007,634
CA1HA_87,349.1457,635
CA1HA_87,349.2207,636
CA1HA_87,349.2907,637
CA1HA_87,349.3357,638
CA1HA_87,349.4007,639
CA1HA_87,349.4807,640
CA1HA_87,349.5257,641
CA1HA_87,349.6107,642
CA1HA_87,349.6907,643
CA1HA_87,349.7157,644
CA1HA_87,349.7507,645
CA1HA_87,349.7957,646
CA1HA_87,349.8457,647
CA1HA_87,349.8807,648
CA1HA_87,349.9107,649
CA1HA_87,349.9507,650
CA1HA_87,350.0007,651
CA1HA_87,350.0657,652
CA1HA_87,350.1607,653
CA1HA_87,350.2807,654
CA1HA_87,350.3757,655
CA1HA_87,350.4357,656
CA1HA_87,350.4957,657
CA1HA_87,350.5857,658
CA1HA_87,350.6607,659
CA1HA_87,350.6907,660
