speaker,time,row_index,formant_1,formant_2,formant_3,pitchValue,intensityValue
CA1HA_87,372.034,865,0,0,0,0,0
CA1HA_87,372.094,866,0,0,0,0,0
CA1HA_87,372.19399999999996,867,0,0,0,0,0
CA1HA_87,372.294,868,0,0,0,0,0
CA1HA_87,372.324,869,0,0,0,0,0
CA1HA_87,372.36400000000003,870,0,0,0,0,0
CA1HA_87,372.43399999999997,871,0,0,0,0,0
CA1HA_87,372.499,872,0,0,0,0,0
CA1HA_87,372.544,873,0,0,0,0,0
CA1HA_87,372.59400000000005,874,0,0,0,0,0
CA1HA_87,372.634,875,0,0,0,0,0
CA1HA_87,372.714,876,0,0,0,0,0
CA1HA_87,372.81899999999996,877,0,0,0,0,0
CA1HA_87,372.869,878,0,0,0,0,0
CA1HA_87,372.919,879,0,0,0,0,0
CA1HA_87,372.98400000000004,880,0,0,0,0,0
CA1HA_87,373.069,881,0,0,0,0,0
CA1HA_87,373.9167,882,0,0,0,0,0
CA1HA_87,374.0317,883,0,0,0,0,0
CA1HA_87,374.11170000000004,884,0,0,0,0,0
CA1HA_87,374.1467,885,0,0,0,0,0
CA1HA_87,374.2267,886,0,0,0,0,0
CA1HA_87,374.3917,887,0,0,0,0,0
CA1HA_87,374.6967,888,0,0,0,0,0
CA1HA_87,375.2005,889,0,0,0,0,0
CA1HA_87,375.4905,890,0,0,0,0,0
CA1HA_87,376.4941,891,0,0,0,0,0
CA1HA_87,376.5441,892,0,0,0,0,0
CA1HA_87,376.6041,893,0,0,0,0,0
CA1HA_87,376.65409999999997,894,0,0,0,0,0
CA1HA_87,376.70410000000004,895,0,0,0,0,0
CA1HA_87,376.77909999999997,896,0,0,0,0,0
CA1HA_87,376.83410000000003,897,0,0,0,0,0
CA1HA_87,376.9141,898,0,0,0,0,0
CA1HA_87,376.9841,899,0,0,0,0,0
CA1HA_87,377.03409999999997,900,0,0,0,0,0
CA1HA_87,377.0941,901,0,0,0,0,0
CA1HA_87,377.1491,902,0,0,0,0,0
CA1HA_87,377.20910000000003,903,0,0,0,0,0
CA1HA_87,377.2491,904,0,0,0,0,0
CA1HA_87,377.29409999999996,905,0,0,0,0,0
CA1HA_87,377.3541,906,0,0,0,0,0
CA1HA_87,377.3941,907,0,0,0,0,0
CA1HA_87,377.4341,908,0,0,0,0,0
CA1HA_87,377.4741,909,0,0,0,0,0
CA1HA_87,377.5141,910,0,0,0,0,0
CA1HA_87,377.58410000000003,911,0,0,0,0,0
CA1HA_87,377.65409999999997,912,0,0,0,0,0
CA1HA_87,377.7241,913,0,0,0,0,0
CA1HA_87,377.78909999999996,914,0,0,0,0,0
CA1HA_87,377.8241,915,0,0,0,0,0
CA1HA_87,377.8541,916,0,0,0,0,0
CA1HA_87,377.8841,917,0,0,0,0,0
CA1HA_87,377.91409999999996,918,0,0,0,0,0
CA1HA_87,377.9441,919,0,0,0,0,0
CA1HA_87,378.34360000000004,920,0,0,0,0,0
CA1HA_87,378.3736,921,0,0,0,0,0
CA1HA_87,378.42359999999996,922,0,0,0,0,0
CA1HA_87,378.4686,923,0,0,0,0,0
CA1HA_87,378.5336,924,0,0,0,0,0
CA1HA_87,378.8841,925,0,0,0,0,0
CA1HA_87,378.9941,926,0,0,0,0,0
CA1HA_87,379.04409999999996,927,0,0,0,0,0
CA1HA_87,379.08910000000003,928,0,0,0,0,0
CA1HA_87,379.1341,929,0,0,0,0,0
CA1HA_87,379.1641,930,0,0,0,0,0
CA1HA_87,379.1941,931,0,0,0,0,0
CA1HA_87,379.2441,932,0,0,0,0,0
CA1HA_87,379.28909999999996,933,0,0,0,0,0
CA1HA_87,379.32410000000004,934,0,0,0,0,0
CA1HA_87,379.3591,935,0,0,0,0,0
CA1HA_87,379.3991,936,0,0,0,0,0
CA1HA_87,379.4391,937,0,0,0,0,0
